ds,y
2024-04-03,195
2024-04-04,197
2024-04-05,219
2024-04-06,190
2024-04-07,218
2024-04-08,176
2024-04-09,186
2024-04-10,189
2024-04-11,210
2024-04-12,218
2024-04-13,189
2024-04-14,223
2024-04-15,191
2024-04-16,197
2024-04-17,209
2024-04-18,218
2024-04-19,176
2024-04-20,170
2024-04-21,201
2024-04-22,182
2024-04-23,199
2024-04-24,192
2024-04-25,220
2024-04-26,228
2024-04-27,225
2024-04-28,188
2024-04-29,201
2024-04-30,199
2024-05-01,198
2024-05-02,218
2024-05-03,214
2024-05-04,198
2024-05-05,199
2024-05-06,185
2024-05-07,209
2024-05-08,188
2024-05-09,187
2024-05-10,170
2024-05-11,183
2024-05-12,220
2024-05-13,216
2024-05-14,219
2024-05-15,171
2024-05-16,223
2024-05-17,197
2024-05-18,218
2024-05-19,219
2024-05-20,199
2024-05-21,207
2024-05-22,220
2024-05-23,173
2024-05-24,170
2024-05-25,177
2024-05-26,198
2024-05-27,224
2024-05-28,208
2024-05-29,172
2024-05-30,201
2024-05-31,179
2024-06-01,179
2024-06-02,188
2024-06-03,215
2024-06-04,203
2024-06-05,229
2024-06-06,202
2024-06-07,192
2024-06-08,224
2024-06-09,197
2024-06-10,201
2024-06-11,219
2024-06-12,176
2024-06-13,198
2024-06-14,177
2024-06-15,170
2024-06-16,226
2024-06-17,224
2024-06-18,172
2024-06-19,193
2024-06-20,192
2024-06-21,228
2024-06-22,177
2024-06-23,223
2024-06-24,226
2024-06-25,216
2024-06-26,206
2024-06-27,172
2024-06-28,220
2024-06-29,202
2024-06-30,197
2024-07-01,216
2024-07-02,177
2024-07-03,203
2024-07-04,204
2024-07-05,201
2024-07-06,193
2024-07-07,183
2024-07-08,201
2024-07-09,225
2024-07-10,215
2024-07-11,212
2024-07-12,185
2024-07-13,173
2024-07-14,221
2024-07-15,206
2024-07-16,223
2024-07-17,190
2024-07-18,183
2024-07-19,200
2024-07-20,224
2024-07-21,217
2024-07-22,187
2024-07-23,176
2024-07-24,179
2024-07-25,176
2024-07-26,202
2024-07-27,192
2024-07-28,190
2024-07-29,188
2024-07-30,217
2024-07-31,188
2024-08-01,205
2024-08-02,198
2024-08-03,229
2024-08-04,187
2024-08-05,171
2024-08-06,170
2024-08-07,216
2024-08-08,174
2024-08-09,189
2024-08-10,180
2024-08-11,211
2024-08-12,171
2024-08-13,172
2024-08-14,192
2024-08-15,224
2024-08-16,181
2024-08-17,189
2024-08-18,174
2024-08-19,206
2024-08-20,207
2024-08-21,199
2024-08-22,178
2024-08-23,203
2024-08-24,222
2024-08-25,213
2024-08-26,204
2024-08-27,221
2024-08-28,227
2024-08-29,191
2024-08-30,213
2024-08-31,193
2024-09-01,186
2024-09-02,179
2024-09-03,199
2024-09-04,225
2024-09-05,228
2024-09-06,215
2024-09-07,192
2024-09-08,201
2024-09-09,186
2024-09-10,219
2024-09-11,220
2024-09-12,186
2024-09-13,183
2024-09-14,178
2024-09-15,209
2024-09-16,171
2024-09-17,214
2024-09-18,194
2024-09-19,208
2024-09-20,178
2024-09-21,223
2024-09-22,191
2024-09-23,212
2024-09-24,215
2024-09-25,173
2024-09-26,195
2024-09-27,227
2024-09-28,198
2024-09-29,214
2024-09-30,203
2024-10-01,192
2024-10-02,206
2024-10-03,180
2024-10-04,175
2024-10-05,187
2024-10-06,190
2024-10-07,211
2024-10-08,205
2024-10-09,210
2024-10-10,207
2024-10-11,203
2024-10-12,186
2024-10-13,206
2024-10-14,194
2024-10-15,207
2024-10-16,227
2024-10-17,181
2024-10-18,192
2024-10-19,222
2024-10-20,211
2024-10-21,191
2024-10-22,190
2024-10-23,196
2024-10-24,226
2024-10-25,200
2024-10-26,175
2024-10-27,196
2024-10-28,209
2024-10-29,203
2024-10-30,181
2024-10-31,214
2024-11-01,376
2024-11-02,372
2024-11-03,326
2024-11-04,329
2024-11-05,364
2024-11-06,336
2024-11-07,345
2024-11-08,340
2024-11-09,347
2024-11-10,377
2024-11-11,365
2024-11-12,321
2024-11-13,379
2024-11-14,373
2024-11-15,362
2024-11-16,320
2024-11-17,370
2024-11-18,372
2024-11-19,355
2024-11-20,370
2024-11-21,345
2024-11-22,348
2024-11-23,340
2024-11-24,330
2024-11-25,359
2024-11-26,330
2024-11-27,355
2024-11-28,368
2024-11-29,378
2024-11-30,358
2024-12-01,359
2024-12-02,354
2024-12-03,373
2024-12-04,353
2024-12-05,374
2024-12-06,366
2024-12-07,343
2024-12-08,373
2024-12-09,341
2024-12-10,324
2024-12-11,375
2024-12-12,352
2024-12-13,377
2024-12-14,355
2024-12-15,366
2024-12-16,339
2024-12-17,338
2024-12-18,354
2024-12-19,371
2024-12-20,362
2024-12-21,336
2024-12-22,378
2024-12-23,364
2024-12-24,362
2024-12-25,353
2024-12-26,328
2024-12-27,345
2024-12-28,321
2024-12-29,372
2024-12-30,328
2024-12-31,328
